EventId,Type,Severity,StartTime(UTC),EndTime(UTC),Precipitation(in),TimeZone,AirportCode,LocationLat,LocationLng,City,County,State,ZipCode
W-3819107,Fog,Moderate,2016-01-14 15:47:00+00:00,2016-01-14 18:47:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3819108,Fog,Moderate,2016-01-15 13:08:00+00:00,2016-01-15 13:47:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3819109,Fog,Moderate,2016-01-15 15:47:00+00:00,2016-01-15 16:47:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3819110,Fog,Severe,2016-01-17 14:59:00+00:00,2016-01-17 15:20:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3819111,Fog,Moderate,2016-01-17 16:47:00+00:00,2016-01-17 17:47:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3819112,Fog,Moderate,2016-01-17 19:47:00+00:00,2016-01-17 20:47:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3819113,Fog,Moderate,2016-01-17 22:47:00+00:00,2016-01-17 23:47:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3819114,Fog,Moderate,2016-01-18 01:47:00+00:00,2016-01-18 02:47:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3819115,Fog,Severe,2016-01-18 06:17:00+00:00,2016-01-18 11:37:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3819116,Fog,Moderate,2016-01-18 17:00:00+00:00,2016-01-18 18:23:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3819117,Fog,Moderate,2016-01-18 19:14:00+00:00,2016-01-18 21:44:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
