EventId,Type,Severity,StartTime(UTC),EndTime(UTC),Precipitation(in),TimeZone,AirportCode,LocationLat,LocationLng,City,County,State,ZipCode
W-1054399,Snow,Heavy,2016-01-23 21:51:00+00:00,2016-01-23 23:51:00+00:00,0.31,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1054400,Fog,Severe,2016-01-23 23:51:00+00:00,2016-01-24 00:51:00+00:00,0.0,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1054401,Snow,Heavy,2016-01-24 00:51:00+00:00,2016-01-24 01:51:00+00:00,0.07,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1054402,Snow,Moderate,2016-01-24 01:51:00+00:00,2016-01-24 02:14:00+00:00,0.05,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1054403,Snow,Light,2016-01-24 02:14:00+00:00,2016-01-24 06:04:00+00:00,0.03,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1054404,Snow,Light,2016-01-24 06:19:00+00:00,2016-01-24 06:51:00+00:00,0.0,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1054405,Rain,Light,2016-01-27 08:51:00+00:00,2016-01-27 09:51:00+00:00,0.0,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1054406,Rain,Light,2016-02-01 20:51:00+00:00,2016-02-01 21:51:00+00:00,0.0,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1054407,Rain,Light,2016-02-03 12:51:00+00:00,2016-02-03 13:51:00+00:00,0.0,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1054408,Rain,Light,2016-02-03 17:18:00+00:00,2016-02-03 19:51:00+00:00,0.38,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1054409,Rain,Moderate,2016-02-03 19:51:00+00:00,2016-02-03 20:08:00+00:00,0.12,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1054410,Rain,Light,2016-02-03 20:08:00+00:00,2016-02-03 20:31:00+00:00,0.04,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1054411,Rain,Moderate,2016-02-03 20:31:00+00:00,2016-02-03 21:58:00+00:00,0.72,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1054412,Rain,Light,2016-02-03 21:58:00+00:00,2016-02-03 22:51:00+00:00,0.11,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1054413,Rain,Light,2016-02-05 01:51:00+00:00,2016-02-05 02:51:00+00:00,0.0,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1054414,Rain,Light,2016-02-05 03:51:00+00:00,2016-02-05 04:51:00+00:00,0.0,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1054415,Rain,Light,2016-02-05 06:51:00+00:00,2016-02-05 07:51:00+00:00,0.0,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1054416,Snow,Light,2016-02-05 07:51:00+00:00,2016-02-05 08:40:00+00:00,0.02,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1054417,Snow,Moderate,2016-02-05 08:40:00+00:00,2016-02-05 08:55:00+00:00,0.15,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1054418,Snow,Light,2016-02-05 08:55:00+00:00,2016-02-05 09:51:00+00:00,0.02,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1054419,Snow,Heavy,2016-02-05 09:51:00+00:00,2016-02-05 10:51:00+00:00,0.16,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1054420,Fog,Severe,2016-02-05 10:51:00+00:00,2016-02-05 12:51:00+00:00,0.0,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1054421,Snow,Heavy,2016-02-05 12:51:00+00:00,2016-02-05 13:00:00+00:00,0.09,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1054422,Fog,Severe,2016-02-05 13:00:00+00:00,2016-02-05 14:15:00+00:00,0.0,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1054423,Snow,Light,2016-02-05 14:15:00+00:00,2016-02-05 14:28:00+00:00,0.0,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1054424,Snow,Light,2016-02-05 14:42:00+00:00,2016-02-05 15:48:00+00:00,0.02,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1054425,Fog,Severe,2016-02-05 15:48:00+00:00,2016-02-05 16:25:00+00:00,0.0,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1054426,Snow,Light,2016-02-05 16:25:00+00:00,2016-02-05 16:37:00+00:00,0.0,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1054427,Fog,Moderate,2016-02-05 16:51:00+00:00,2016-02-05 17:05:00+00:00,0.0,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1054428,Snow,Light,2016-02-08 14:46:00+00:00,2016-02-08 16:42:00+00:00,0.05,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1054429,Snow,Moderate,2016-02-08 16:42:00+00:00,2016-02-08 17:06:00+00:00,0.06,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1054430,Snow,Light,2016-02-08 17:06:00+00:00,2016-02-08 17:21:00+00:00,0.02,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1054431,Fog,Moderate,2016-02-08 17:21:00+00:00,2016-02-08 17:51:00+00:00,0.0,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1054432,Snow,Light,2016-02-09 04:12:00+00:00,2016-02-09 04:51:00+00:00,0.0,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
W-1054433,Fog,Moderate,2016-02-09 08:51:00+00:00,2016-02-09 09:51:00+00:00,0.0,US/Eastern,KNYC,40.779,-73.9692,New York,New York,NY,10024.0
