EventId,Type,Severity,StartTime(UTC),EndTime(UTC),Precipitation(in),TimeZone,AirportCode,LocationLat,LocationLng,City,County,State,ZipCode
W-7405518,Rain,Light,2022-01-26 07:53:00+00:00,2022-01-26 08:53:00+00:00,0.0,US/Eastern,KTMB,25.6423,-80.4347,Miami,Miami-Dade,FL,33186.0
W-7405519,Rain,Light,2022-01-26 17:21:00+00:00,2022-01-26 17:28:00+00:00,0.0,US/Eastern,KTMB,25.6423,-80.4347,Miami,Miami-Dade,FL,33186.0
W-7405520,Rain,Light,2022-01-27 02:31:00+00:00,2022-01-27 03:53:00+00:00,0.07,US/Eastern,KTMB,25.6423,-80.4347,Miami,Miami-Dade,FL,33186.0
W-7405521,Fog,Severe,2022-01-27 05:53:00+00:00,2022-01-27 06:07:00+00:00,0.0,US/Eastern,KTMB,25.6423,-80.4347,Miami,Miami-Dade,FL,33186.0
W-7405522,Fog,Severe,2022-01-27 08:15:00+00:00,2022-01-27 08:26:00+00:00,0.0,US/Eastern,KTMB,25.6423,-80.4347,Miami,Miami-Dade,FL,33186.0
W-7405523,Fog,Severe,2022-01-28 10:31:00+00:00,2022-01-28 11:09:00+00:00,0.0,US/Eastern,KTMB,25.6423,-80.4347,Miami,Miami-Dade,FL,33186.0
W-7405524,Rain,Light,2022-01-31 18:53:00+00:00,2022-01-31 21:53:00+00:00,0.0,US/Eastern,KTMB,25.6423,-80.4347,Miami,Miami-Dade,FL,33186.0
W-7405525,Rain,Light,2022-02-01 12:53:00+00:00,2022-02-01 13:53:00+00:00,0.0,US/Eastern,KTMB,25.6423,-80.4347,Miami,Miami-Dade,FL,33186.0
W-7405526,Fog,Severe,2022-02-05 09:33:00+00:00,2022-02-05 11:00:00+00:00,0.0,US/Eastern,KTMB,25.6423,-80.4347,Miami,Miami-Dade,FL,33186.0
W-7405527,Fog,Severe,2022-02-05 11:36:00+00:00,2022-02-05 12:26:00+00:00,0.0,US/Eastern,KTMB,25.6423,-80.4347,Miami,Miami-Dade,FL,33186.0
W-7405528,Fog,Severe,2022-02-06 12:10:00+00:00,2022-02-06 13:00:00+00:00,0.0,US/Eastern,KTMB,25.6423,-80.4347,Miami,Miami-Dade,FL,33186.0
W-7405529,Rain,Light,2022-02-06 13:00:00+00:00,2022-02-06 13:14:00+00:00,0.0,US/Eastern,KTMB,25.6423,-80.4347,Miami,Miami-Dade,FL,33186.0
W-7405530,Fog,Severe,2022-02-06 13:14:00+00:00,2022-02-06 13:29:00+00:00,0.0,US/Eastern,KTMB,25.6423,-80.4347,Miami,Miami-Dade,FL,33186.0
W-7405531,Cold,Severe,2022-02-07 07:53:00+00:00,2022-02-07 15:53:00+00:00,0.0,US/Eastern,KTMB,25.6423,-80.4347,Miami,Miami-Dade,FL,33186.0
W-7405532,Cold,Severe,2022-02-07 22:53:00+00:00,2022-02-08 02:53:00+00:00,0.0,US/Eastern,KTMB,25.6423,-80.4347,Miami,Miami-Dade,FL,33186.0
